Competence,Orchestrate Innovation Process,Materialize Systemic Solutions,Spark Connections & Ideas,Organize and measure results
Project management,,,,X
Moderation,X,,,
Mediation,X,,,
Networking,,,X,
Participation,X,,,
Communication,,,X,
Self-organization,,,,X
Intercultural,X,,,
Evaluation,,,,X
Research methods and interdisciplinary work,,X,,
Design methods and creative thinking,,X,,
Information and telecommunication techniques,,X,,
Entrepreneurial thinking,,,X,
Systems thinking,,X,,
